fips,Total Households,0-10k,10-15k,15-20k,20-25k,25-30k,30-35k,35-40k,40-45k,45-50k,50-60k,60-75k,75-100k,100-125k,125-150k,150-200k,200k+
16031,10487,1134,1456,1170,1124,741,629,593,562,536,694,560,456,918,267,1276,6533
16013,10391,816,1091,1267,1249,993,684,693,916,413,773,921,794,779,414,851,7645
16047,15702,1580,1827,1808,1589,1158,1050,902,814,562,974,889,666,812,426,1416,9209
16025,608,50,64,69,58,37,34,32,30,25,46,24,30,7,5,13,376
16063,22771,1975,2786,2381,2496,1438,1306,1106,1070,632,1813,1576,1282,593,396,532,14299
16053,9538,956,992,1161,1003,669,634,581,484,329,590,576,437,539,234,836,5635
16067,9864,1299,1394,1177,1007,719,628,601,602,473,600,486,349,1072,309,1672,5960
16043,6812,629,743,685,652,461,473,410,327,291,425,345,280,253,129,323,4164
16039,33579,2651,3385,3675,4053,2501,2401,1807,2116,1507,2071,2325,1949,1505,982,1771,21170
16033,662,100,67,65,61,42,49,46,43,19,29,20,18,65,8,100,358
16051,12450,1195,1388,1308,1316,862,794,672,670,536,830,713,533,536,230,617,7668
16065,22219,2020,2485,2483,2132,1425,1390,1154,1072,839,1453,1320,924,661,311,805,13623
16069,26174,2320,3131,2757,2844,1694,1490,1250,1284,769,2470,1826,1463,621,454,473,16494
16035,6656,609,681,725,550,440,338,366,327,211,424,371,213,89,85,62,3955
16049,16471,1698,1601,1652,1416,1080,929,782,757,471,949,846,581,261,236,204,9728
16061,7934,815,831,865,718,437,454,388,350,273,586,412,312,119,122,84,4720
16057,20674,2490,2269,2268,2104,1366,959,912,706,744,1325,1467,1019,552,380,390,12833
16009,6215,623,740,676,588,538,343,271,275,204,997,408,298,166,151,125,3772
16003,3344,334,335,279,306,212,164,150,164,78,172,115,93,45,45,32,1912
16015,21702,1724,2141,2330,2750,1685,1564,983,1375,756,1416,1540,1410,896,678,770,14190
16027,58845,6107,6795,7199,6495,4547,4054,3413,3475,2695,3858,4091,2632,4576,1598,5755,36113
16028,12625,1472,1395,1530,1681,907,991,650,754,522,629,752,534,1532,339,1816,7543
16045,28986,2828,3042,3214,3723,2370,2016,1572,1750,1032,1602,1820,1898,2290,747,2428,18508
16075,31719,3463,3612,3571,3372,2186,2142,1688,1605,1227,1716,1887,1176,2178,734,2778,18948
16087,11283,1364,1372,1284,990,720,680,559,539,439,560,687,285,462,405,816,6659
16085,5041,402,580,565,466,386,259,305,236,155,352,335,230,133,67,81,3149
16021,24520,2077,2597,2516,2989,1817,1646,1162,1458,846,1723,1654,1475,861,696,822,15869
16017,27980,2923,3182,2958,2392,1719,1483,1308,1266,993,1684,1647,1027,444,384,336,16992
16079,14616,1551,1589,1436,1278,931,731,644,571,493,806,687,488,221,189,142,8665
49013,8006,904,833,737,650,549,459,442,362,306,745,460,244,151,166,193,4785
49049,121698,9182,13849,15553,15410,10494,8000,7640,7533,5749,10834,11698,10551,6914,3348,6481,83030
49035,406708,33733,45337,51946,54173,37829,29117,26793,27951,23137,34888,43131,37585,30046,15567,35281,277662
49011,102683,7421,11267,14007,15178,9310,7204,6983,6574,5862,9445,11799,11435,6574,3300,5676,74138
49043,7187,496,794,936,956,629,535,570,761,390,578,708,676,575,265,615,5665
49029,2885,239,245,409,358,262,183,200,141,162,210,311,246,127,63,85,2054
49045,17181,1440,2167,2375,2032,1362,1111,1032,1087,977,1818,1851,1300,1069,424,1308,11394
49009,563,41,68,63,63,45,26,15,23,15,32,34,22,14,3,7,342
49047,16079,1678,1747,1712,1567,1014,1006,845,755,663,1757,1225,761,398,412,500,9913
49033,1012,93,109,119,94,73,62,53,51,46,71,69,49,20,10,18,651
49051,6488,549,718,851,840,472,403,416,462,319,625,678,550,233,156,275,4647
