fips,Total,Cash,0-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-900,900-1000,1000-1250,1250-1500,1500-2000,2000+,No Cash,Median,Aggregate
48147,1124822,78444,8182,22612,4273,36521,14974,69348,854431,2448,249,424,391,284,355,493,6317,5035,3698,2635,1148,2865,5157,4538,125137,95360
48223,1449990,172357,10340,13123,311,56060,17113,111096,1037472,2786,322,851,505,353,426,537,4474,4280,3931,1963,716,3036,4140,3798,163264,115772
48063,863327,153220,8255,17332,248,67741,12678,77614,509625,1597,196,480,231,187,334,420,1455,2289,2743,1653,851,1097,1947,1134,95000,56906
48459,3857884,639932,38337,37503,1111,146107,53435,274603,2606040,6512,719,1621,1172,833,956,1310,4523,9783,11087,4080,2349,2922,9043,3906,433047,290742
48159,1423188,174089,16240,6158,439,179729,5383,319585,697873,2090,215,1005,398,377,751,480,1820,3050,3806,2147,1071,2307,2186,1989,170712,77907
48343,2104944,384766,19523,17906,4024,232183,10724,378198,1019280,3190,392,1283,599,472,933,729,3435,5458,5349,2621,2662,3488,4655,3074,245701,113819
48449,1740730,256532,18733,17859,524,235505,6293,379490,796273,2417,290,1182,504,419,882,542,2828,3688,4254,2430,1535,3078,2659,2813,205860,88899
48037,4093185,1370330,19452,10288,7966,48229,54394,95693,2430822,5955,492,1115,883,637,712,1198,4540,8985,7364,2384,4842,3022,9006,4876,452592,271137
48061,14922952,201315,76783,126918,5200,1852492,251095,9520022,2647445,26597,2402,29646,4635,5690,10180,6084,13063,13884,43052,34951,12762,15695,13391,9650,2453229,298649
48067,1216393,310970,7988,233,2622,8523,28486,26346,794425,2659,281,477,261,199,263,723,5469,6172,4897,834,1829,2027,6593,4116,133277,88722
48091,15896808,1055281,83009,190829,20087,1470933,295458,3464911,9159981,19351,2241,9552,3511,3164,5380,2686,7492,20802,27874,13368,8736,8121,17391,6650,1957918,1020811
48315,2465738,208991,20096,16688,418,248170,43331,462107,1430956,2921,300,1316,556,557,813,573,3503,5289,6021,2525,1329,1919,4883,2476,292085,159458
48183,8839432,1819292,42774,45223,2467,326311,120882,581360,5794023,13078,1432,3411,2212,1947,2151,2227,5638,17134,17324,6910,5913,5321,16463,5939,993077,646141
48203,3860862,1446052,15561,9232,1381,184852,42840,320894,1787310,4712,456,1474,848,608,1025,981,4802,8472,7406,2933,4817,2582,6901,4723,436835,199416
